app_id,app_name,category,what_it_does,auth_methods,primary_auth_for_toolkit,auth_complexity,access_model,access_notes,public_api,api_protocols,api_breadth,api_surface_summary,mcp_status,mcp_url,buildability_verdict,main_blocker,opportunity_score,confidence,confidence_score,verification_status,human_review_required,developer_docs_url,api_docs_url,auth_docs_url,pricing_or_access_url,evidence_urls,notes_short
13,Freshdesk,Support and Helpdesk,"Freshdesk is a customer support platform for managing conversations, tickets, and service workflows.",unclear,unclear,unclear,self_serve_free_or_trial,First-pass extraction found public developer/API documentation and no obvious discovery-stage sales or partner gate.,yes,"REST, Webhooks",moderate,"First-pass API surface classified as moderate using discovered REST, Webhooks source evidence.",none_found,,buildable_now,none,8,medium,0.68,not_checked,unclear,https://developers.freshdesk.com/,https://developers.freshdesk.com/api/,,,https://developers.freshdesk.com/ | https://developers.freshdesk.com/api/ | https://freshdesk.com/,moderate API surface with self_serve_free_or_trial access; first-pass toolkit candidate.
14,Front,Support and Helpdesk,"Front is a customer support platform for managing conversations, tickets, and service workflows.",OAuth 2.0,OAuth 2.0,moderate,self_serve_free_or_trial,First-pass extraction found public developer/API documentation and no obvious discovery-stage sales or partner gate.,yes,"REST, Webhooks",moderate,"First-pass API surface classified as moderate using discovered REST, Webhooks source evidence.",none_found,,buildable_now,none,8,medium,0.68,not_checked,unclear,https://dev.frontapp.com/,https://dev.frontapp.com/reference/introduction,https://dev.frontapp.com/docs/oauth,,https://dev.frontapp.com/ | https://dev.frontapp.com/docs/oauth | https://dev.frontapp.com/reference/introduction | https://front.com/,moderate API surface with self_serve_free_or_trial access; first-pass toolkit candidate.
15,Pylon,Support and Helpdesk,"Pylon is a customer support platform for managing conversations, tickets, and service workflows.",unclear,unclear,unclear,self_serve_free_or_trial,First-pass extraction found public developer/API documentation and no obvious discovery-stage sales or partner gate.,yes,"REST, Webhooks",moderate,"First-pass API surface classified as moderate using discovered REST, Webhooks source evidence.",none_found,,buildable_now,none,8,medium,0.68,not_checked,unclear,https://docs.usepylon.com/,https://docs.usepylon.com/reference,,,https://docs.usepylon.com/ | https://docs.usepylon.com/reference | https://usepylon.com/,moderate API surface with self_serve_free_or_trial access; first-pass toolkit candidate.
16,LiveAgent,Support and Helpdesk,"LiveAgent is a customer support platform for managing conversations, tickets, and service workflows.",unclear,unclear,unclear,self_serve_free_or_trial,First-pass extraction found public developer/API documentation and no obvious discovery-stage sales or partner gate.,yes,"REST, Webhooks",moderate,"First-pass API surface classified as moderate using discovered REST, Webhooks source evidence.",none_found,,buildable_now,none,8,medium,0.68,not_checked,unclear,https://support.liveagent.com/061754-API,https://support.liveagent.com/061754-API,,,https://liveagent.com/ | https://support.liveagent.com/061754-API,moderate API surface with self_serve_free_or_trial access; first-pass toolkit candidate.
17,Plain,Support and Helpdesk,"Plain is a customer support platform for managing conversations, tickets, and service workflows.",unclear,unclear,unclear,self_serve_free_or_trial,First-pass extraction found public developer/API documentation and no obvious discovery-stage sales or partner gate.,yes,"REST, Webhooks",moderate,"First-pass API surface classified as moderate using discovered REST, Webhooks source evidence.",none_found,,buildable_now,none,8,medium,0.68,not_checked,unclear,https://www.plain.com/docs,https://www.plain.com/docs/api-reference,,,https://plain.com/ | https://www.plain.com/docs | https://www.plain.com/docs/api-reference,moderate API surface with self_serve_free_or_trial access; first-pass toolkit candidate.
18,Help Scout,Support and Helpdesk,"Help Scout is a customer support platform for managing conversations, tickets, and service workflows.",OAuth 2.0,OAuth 2.0,moderate,self_serve_free_or_trial,First-pass extraction found public developer/API documentation and no obvious discovery-stage sales or partner gate.,yes,"REST, Webhooks",moderate,"First-pass API surface classified as moderate using discovered REST, Webhooks source evidence.",none_found,,buildable_now,none,8,medium,0.68,not_checked,unclear,https://developer.helpscout.com/,https://developer.helpscout.com/mailbox-api/,https://developer.helpscout.com/mailbox-api/overview/authentication/,,https://developer.helpscout.com/ | https://developer.helpscout.com/mailbox-api/ | https://developer.helpscout.com/mailbox-api/overview/authentication/ | https://helpscout.com/,moderate API surface with self_serve_free_or_trial access; first-pass toolkit candidate.
19,Gorgias,Support and Helpdesk,"Gorgias is a customer support platform for managing conversations, tickets, and service workflows.",unclear,unclear,unclear,self_serve_free_or_trial,First-pass extraction found public developer/API documentation and no obvious discovery-stage sales or partner gate.,yes,"REST, Webhooks",moderate,"First-pass API surface classified as moderate using discovered REST, Webhooks source evidence.",none_found,,buildable_now,none,8,medium,0.68,not_checked,unclear,https://developers.gorgias.com/,https://developers.gorgias.com/reference/introduction,,,https://developers.gorgias.com/ | https://developers.gorgias.com/reference/introduction | https://gorgias.com/,moderate API surface with self_serve_free_or_trial access; first-pass toolkit candidate.
20,Gladly,Support and Helpdesk,"Gladly is a customer support platform for managing conversations, tickets, and service workflows.",unclear,unclear,unclear,self_serve_free_or_trial,First-pass extraction found public developer/API documentation and no obvious discovery-stage sales or partner gate.,yes,"REST, Webhooks",moderate,"First-pass API surface classified as moderate using discovered REST, Webhooks source evidence.",none_found,,buildable_now,none,8,medium,0.68,not_checked,unclear,https://developer.gladly.com/,https://developer.gladly.com/rest/,,,https://developer.gladly.com/ | https://developer.gladly.com/rest/ | https://gladly.com/,moderate API surface with self_serve_free_or_trial access; first-pass toolkit candidate.
21,Slack,Communications and Messaging,"Slack is a communications platform for messaging, calls, notifications, or collaboration workflows.",OAuth 2.0,OAuth 2.0,moderate,admin_or_workspace_dependent,"Credentials appear tied to an org, workspace, tenant, or app installation context.",yes,REST,broad,First-pass API surface classified as broad using discovered REST source evidence.,none_found,,buildable_with_caveats,admin_setup_required,7,high,0.82,pass,no,https://api.slack.com/,https://api.slack.com/web,https://api.slack.com/authentication,,https://api.slack.com/ | https://api.slack.com/authentication | https://api.slack.com/web | https://slack.com/,buildable_with_caveats; primary blocker is admin_setup_required.
22,Twilio,Communications and Messaging,"Twilio is a communications platform for messaging, calls, notifications, or collaboration workflows.",API key / bearer token,API key / bearer token,simple,self_serve_free_or_trial,First-pass extraction found public developer/API documentation and no obvious discovery-stage sales or partner gate.,yes,REST,broad,First-pass API surface classified as broad using discovered REST source evidence.,none_found,,buildable_now,none,9,medium,0.68,not_checked,unclear,https://www.twilio.com/docs,https://www.twilio.com/docs/usage/api,https://www.twilio.com/docs/iam/api,,https://twilio.com/ | https://www.twilio.com/docs | https://www.twilio.com/docs/iam/api | https://www.twilio.com/docs/usage/api,broad API surface with self_serve_free_or_trial access; first-pass toolkit candidate.
23,Zoho Cliq,Communications and Messaging,"Zoho Cliq is a communications platform for messaging, calls, notifications, or collaboration workflows.",unclear,unclear,unclear,self_serve_free_or_trial,First-pass extraction found public developer/API documentation and no obvious discovery-stage sales or partner gate.,yes,REST,moderate,First-pass API surface classified as moderate using discovered REST source evidence.,none_found,,buildable_now,none,8,medium,0.68,not_checked,unclear,https://www.zoho.com/cliq/help/restapi/v2/,https://www.zoho.com/cliq/help/restapi/v2/,,,https://www.zoho.com/cliq/help/restapi/v2/ | https://zoho.com/,moderate API surface with self_serve_free_or_trial access; first-pass toolkit candidate.
24,Lark (Larksuite),Communications and Messaging,"Lark (Larksuite) is a communications platform for messaging, calls, notifications, or collaboration workflows.",unclear,unclear,unclear,self_serve_free_or_trial,First-pass extraction found public developer/API documentation and no obvious discovery-stage sales or partner gate.,yes,REST,moderate,First-pass API surface classified as moderate using discovered REST source evidence.,none_found,,buildable_now,none,8,medium,0.68,not_checked,unclear,https://open.larksuite.com/,https://open.larksuite.com/document/home/index,,,https://larksuite.com/ | https://open.larksuite.com/ | https://open.larksuite.com/document/home/index,moderate API surface with self_serve_free_or_trial access; first-pass toolkit candidate.
25,Pumble,Communications and Messaging,"Pumble is a communications platform for messaging, calls, notifications, or collaboration workflows.",unclear,unclear,unclear,unclear,Insufficient discovered sources to classify credential access.,no_or_unclear,unknown,none_or_unclear,First-pass API surface classified as none_or_unclear using discovered unknown source evidence.,unclear,,unclear_needs_review,unclear_access,2,low,0.2,flagged,yes,,,,,https://pumble.com/,unclear_needs_review; primary blocker is unclear_access.
26,Discord,Communications and Messaging,"Discord is a communications platform for messaging, calls, notifications, or collaboration workflows.",OAuth 2.0,OAuth 2.0,moderate,self_serve_free_or_trial,First-pass extraction found public developer/API documentation and no obvious discovery-stage sales or partner gate.,yes,REST,moderate,First-pass API surface classified as moderate using discovered REST source evidence.,none_found,,buildable_now,none,8,medium,0.68,not_checked,unclear,https://discord.com/developers/docs/intro,https://discord.com/developers/docs/reference,https://discord.com/developers/docs/topics/oauth2,,https://discord.com/ | https://discord.com/developers/docs/intro | https://discord.com/developers/docs/reference | https://discord.com/developers/docs/topics/oauth2,moderate API surface with self_serve_free_or_trial access; first-pass toolkit candidate.
27,Telegram,Communications and Messaging,"Telegram is a communications platform for messaging, calls, notifications, or collaboration workflows.",Bot token,Bot token,simple,self_serve_free_or_trial,First-pass extraction found public developer/API documentation and no obvious discovery-stage sales or partner gate.,yes,REST,moderate,First-pass API surface classified as moderate using discovered REST source evidence.,none_found,,buildable_now,none,8,medium,0.68,not_checked,unclear,https://core.telegram.org/,https://core.telegram.org/api,https://core.telegram.org/bots/api,,https://core.telegram.org/ | https://core.telegram.org/api | https://core.telegram.org/bots/api | https://telegram.org/,moderate API surface with self_serve_free_or_trial access; first-pass toolkit candidate.
28,WhatsApp Business,Communications and Messaging,"WhatsApp Business is a communications platform for messaging, calls, notifications, or collaboration workflows.",API key / bearer token,API key / bearer token,simple,self_serve_free_or_trial,First-pass extraction found public developer/API documentation and no obvious discovery-stage sales or partner gate.,yes,REST,moderate,First-pass API surface classified as moderate using discovered REST source evidence.,none_found,,buildable_now,none,8,medium,0.68,not_checked,unclear,https://developers.facebook.com/docs/whatsapp,https://developers.facebook.com/docs/whatsapp/cloud-api,https://developers.facebook.com/docs/facebook-login/guides/access-tokens,,https://developers.facebook.com/docs/facebook-login/guides/access-tokens | https://developers.facebook.com/docs/whatsapp | https://developers.facebook.com/docs/whatsapp/cloud-api | https://facebook.com/,moderate API surface with self_serve_free_or_trial access; first-pass toolkit candidate.
29,Aircall,Communications and Messaging,"Aircall is a communications platform for messaging, calls, notifications, or collaboration workflows.",unclear,unclear,unclear,self_serve_free_or_trial,First-pass extraction found public developer/API documentation and no obvious discovery-stage sales or partner gate.,yes,REST,moderate,First-pass API surface classified as moderate using discovered REST source evidence.,none_found,,buildable_now,none,8,medium,0.68,not_checked,unclear,https://developer.aircall.io/,https://developer.aircall.io/api-references/,,,https://aircall.io/ | https://developer.aircall.io/ | https://developer.aircall.io/api-references/,moderate API surface with self_serve_free_or_trial access; first-pass toolkit candidate.
30,Vonage,Communications and Messaging,"Vonage is a communications platform for messaging, calls, notifications, or collaboration workflows.",unclear,unclear,unclear,self_serve_free_or_trial,First-pass extraction found public developer/API documentation and no obvious discovery-stage sales or partner gate.,yes,REST,moderate,First-pass API surface classified as moderate using discovered REST source evidence.,none_found,,buildable_now,none,8,medium,0.68,not_checked,unclear,https://developer.vonage.com/,https://developer.vonage.com/en/api,,,https://developer.vonage.com/ | https://developer.vonage.com/en/api | https://vonage.com/,moderate API surface with self_serve_free_or_trial access; first-pass toolkit candidate.
31,Google Ads,"Marketing, Ads, Email and Social","Google Ads is a marketing, ads, email, or social platform for campaign and audience workflows.",OAuth 2.0,OAuth 2.0,complex,partner_or_contact_sales_gated,"First-pass rubric marks this app as gated because access commonly depends on app review, partner approval, business verification, or sales contact.",yes,REST,broad,First-pass API surface classified as broad using discovered REST source evidence.,none_found,,possible_but_gated,app_review_or_business_verification,5,high,0.82,pass,no,https://developers.google.com/google-ads/api/docs/start,https://developers.google.com/google-ads/api/reference/rpc,https://developers.google.com/google-ads/api/docs/oauth/overview,https://developers.google.com/google-ads/api/docs/access-levels,https://developers.google.com/google-ads/api/docs/access-levels | https://developers.google.com/google-ads/api/docs/oauth/overview | https://developers.google.com/google-ads/api/docs/start | https://developers.google.com/google-ads/api/reference/rpc | https://google.com/,possible_but_gated; primary blocker is app_review_or_business_verification.
32,Meta Ads,"Marketing, Ads, Email and Social","Meta Ads is a marketing, ads, email, or social platform for campaign and audience workflows.","OAuth 2.0, API key / bearer token",OAuth 2.0,complex,partner_or_contact_sales_gated,"First-pass rubric marks this app as gated because access commonly depends on app review, partner approval, business verification, or sales contact.",yes,REST,broad,First-pass API surface classified as broad using discovered REST source evidence.,none_found,,possible_but_gated,app_review_or_business_verification,5,medium,0.68,not_checked,unclear,https://developers.facebook.com/docs/marketing-apis/,https://developers.facebook.com/docs/marketing-api/reference,https://developers.facebook.com/docs/facebook-login/guides/access-tokens,https://developers.facebook.com/docs/development/release/business-verification,https://developers.facebook.com/docs/development/release/business-verification | https://developers.facebook.com/docs/facebook-login/guides/access-tokens | https://developers.facebook.com/docs/marketing-api/reference | https://developers.facebook.com/docs/marketing-apis/ | https://facebook.com/,possible_but_gated; primary blocker is app_review_or_business_verification.
33,LinkedIn Ads,"Marketing, Ads, Email and Social","LinkedIn Ads is a marketing, ads, email, or social platform for campaign and audience workflows.",OAuth 2.0,OAuth 2.0,complex,partner_or_contact_sales_gated,"First-pass rubric marks this app as gated because access commonly depends on app review, partner approval, business verification, or sales contact.",yes,REST,moderate,First-pass API surface classified as moderate using discovered REST source evidence.,none_found,,possible_but_gated,app_review_or_business_verification,5,medium,0.68,not_checked,unclear,https://learn.microsoft.com/linkedin/marketing/,https://learn.microsoft.com/linkedin/marketing/integrations/ads/,https://learn.microsoft.com/linkedin/shared/authentication/authentication,,https://learn.microsoft.com/linkedin/marketing/ | https://learn.microsoft.com/linkedin/marketing/integrations/ads/ | https://learn.microsoft.com/linkedin/shared/authentication/authentication | https://microsoft.com/,possible_but_gated; primary blocker is app_review_or_business_verification.
34,GoHighLevel,"Marketing, Ads, Email and Social","GoHighLevel is a marketing, ads, email, or social platform for campaign and audience workflows.",unclear,unclear,unclear,self_serve_free_or_trial,First-pass extraction found public developer/API documentation and no obvious discovery-stage sales or partner gate.,yes,REST,moderate,First-pass API surface classified as moderate using discovered REST source evidence.,none_found,,buildable_now,none,8,medium,0.68,not_checked,unclear,https://highlevel.stoplight.io/,https://highlevel.stoplight.io/docs/integrations/,,,https://highlevel.stoplight.io/ | https://highlevel.stoplight.io/docs/integrations/,moderate API surface with self_serve_free_or_trial access; first-pass toolkit candidate.
35,Mailchimp,"Marketing, Ads, Email and Social","Mailchimp is a marketing, ads, email, or social platform for campaign and audience workflows.",OAuth 2.0,OAuth 2.0,moderate,self_serve_free_or_trial,First-pass extraction found public developer/API documentation and no obvious discovery-stage sales or partner gate.,yes,REST,broad,First-pass API surface classified as broad using discovered REST source evidence.,none_found,,buildable_now,none,9,medium,0.68,not_checked,unclear,https://mailchimp.com/developer/,https://mailchimp.com/developer/marketing/api/,https://mailchimp.com/developer/marketing/guides/access-user-data-oauth-2/,,https://mailchimp.com/ | https://mailchimp.com/developer/ | https://mailchimp.com/developer/marketing/api/ | https://mailchimp.com/developer/marketing/guides/access-user-data-oauth-2/,broad API surface with self_serve_free_or_trial access; first-pass toolkit candidate.
36,Klaviyo,"Marketing, Ads, Email and Social","Klaviyo is a marketing, ads, email, or social platform for campaign and audience workflows.",Documented auth flow,Documented auth flow,simple,self_serve_free_or_trial,First-pass extraction found public developer/API documentation and no obvious discovery-stage sales or partner gate.,yes,REST,broad,First-pass API surface classified as broad using discovered REST source evidence.,none_found,,buildable_now,none,9,medium,0.68,not_checked,unclear,https://developers.klaviyo.com/,https://developers.klaviyo.com/en/reference/api_overview,https://developers.klaviyo.com/en/docs/authenticate_,,https://developers.klaviyo.com/ | https://developers.klaviyo.com/en/docs/authenticate_ | https://developers.klaviyo.com/en/reference/api_overview | https://klaviyo.com/,broad API surface with self_serve_free_or_trial access; first-pass toolkit candidate.
37,systeme.io,"Marketing, Ads, Email and Social","systeme.io is a marketing, ads, email, or social platform for campaign and audience workflows.",unclear,unclear,unclear,unclear,Insufficient discovered sources to classify credential access.,no_or_unclear,unknown,none_or_unclear,First-pass API surface classified as none_or_unclear using discovered unknown source evidence.,unclear,,unclear_needs_review,unclear_access,2,low,0.2,flagged,yes,,,,,https://systeme.io/,unclear_needs_review; primary blocker is unclear_access.
38,Pinterest,"Marketing, Ads, Email and Social","Pinterest is a marketing, ads, email, or social platform for campaign and audience workflows.",OAuth 2.0,OAuth 2.0,moderate,self_serve_free_or_trial,First-pass extraction found public developer/API documentation and no obvious discovery-stage sales or partner gate.,yes,REST,moderate,First-pass API surface classified as moderate using discovered REST source evidence.,none_found,,buildable_now,none,8,medium,0.68,not_checked,unclear,https://developers.pinterest.com/,https://developers.pinterest.com/docs/api/v5/,https://developers.pinterest.com/docs/getting-started/authentication/,,https://developers.pinterest.com/ | https://developers.pinterest.com/docs/api/v5/ | https://developers.pinterest.com/docs/getting-started/authentication/ | https://pinterest.com/,moderate API surface with self_serve_free_or_trial access; first-pass toolkit candidate.
39,Threads (Meta),"Marketing, Ads, Email and Social","Threads (Meta) is a marketing, ads, email, or social platform for campaign and audience workflows.",unclear,unclear,unclear,self_serve_free_or_trial,First-pass extraction found public developer/API documentation and no obvious discovery-stage sales or partner gate.,yes,REST,moderate,First-pass API surface classified as moderate using discovered REST source evidence.,none_found,,buildable_now,none,8,medium,0.68,not_checked,unclear,https://developers.facebook.com/docs/threads,https://developers.facebook.com/docs/threads/reference,,,https://developers.facebook.com/docs/threads | https://developers.facebook.com/docs/threads/reference | https://facebook.com/,moderate API surface with self_serve_free_or_trial access; first-pass toolkit candidate.
40,SendGrid,"Marketing, Ads, Email and Social","SendGrid is a marketing, ads, email, or social platform for campaign and audience workflows.",API key / bearer token,API key / bearer token,simple,self_serve_free_or_trial,First-pass extraction found public developer/API documentation and no obvious discovery-stage sales or partner gate.,yes,REST,moderate,First-pass API surface classified as moderate using discovered REST source evidence.,none_found,,buildable_now,none,8,medium,0.68,not_checked,unclear,https://www.twilio.com/docs/sendgrid,https://www.twilio.com/docs/sendgrid/api-reference,https://www.twilio.com/docs/sendgrid/api-reference/how-to-use-the-sendgrid-v3-api/authentication,,https://sendgrid.com/ | https://www.twilio.com/docs/sendgrid | https://www.twilio.com/docs/sendgrid/api-reference | https://www.twilio.com/docs/sendgrid/api-reference/how-to-use-the-sendgrid-v3-api/authentication,moderate API surface with self_serve_free_or_trial access; first-pass toolkit candidate.
41,Shopify,Ecommerce,"Shopify is a ecommerce platform for stores, products, orders, customers, and commerce operations.",OAuth 2.0,OAuth 2.0,moderate,admin_or_workspace_dependent,"Credentials appear tied to an org, workspace, tenant, or app installation context.",yes,"REST, GraphQL, Webhooks",platform_level,"First-pass API surface classified as platform_level using discovered REST, GraphQL, Webhooks source evidence.",none_found,,buildable_with_caveats,admin_setup_required,7,high,0.82,pass,no,https://shopify.dev/docs,https://shopify.dev/docs/api,https://shopify.dev/docs/apps/build/authentication-authorization,,https://shopify.dev/ | https://shopify.dev/docs | https://shopify.dev/docs/api | https://shopify.dev/docs/apps/build/authentication-authorization,buildable_with_caveats; primary blocker is admin_setup_required.
