app_id,app_name,category,sample_reason,field,initial_result,extracted_value,verified_value,issue_found,correction_applied,changed,final_result,record_status
59,Waterfall.io,"Data, SEO and Scraping",low_confidence; human_review_flag,api_surface,needs_review,False; none_or_unclear; ['unknown'],False; none_or_unclear; ['unknown'],API surface unresolved.,,False,needs_review,flagged
59,Waterfall.io,"Data, SEO and Scraping",low_confidence; human_review_flag,mcp.status,needs_review,unclear,unclear,MCP status unresolved.,,False,needs_review,flagged
59,Waterfall.io,"Data, SEO and Scraping",low_confidence; human_review_flag,buildability,needs_review,unclear_needs_review; unclear_access,unclear_needs_review; unclear_access,Buildability remains unresolved.,,False,needs_review,flagged
60,Clay,"Data, SEO and Scraping",low_confidence; human_review_flag,one_line_description,correct,"Clay is a data, SEO, scraping, or enrichment platform for collecting and operationalizing web or business data.","Clay is a data, SEO, scraping, or enrichment platform for collecting and operationalizing web or business data.",,,False,verified,flagged
60,Clay,"Data, SEO and Scraping",low_confidence; human_review_flag,auth_methods,needs_review,unclear,unclear,Auth method unresolved from discovered evidence.,,False,needs_review,flagged
60,Clay,"Data, SEO and Scraping",low_confidence; human_review_flag,access.model,partial,self_serve_paid_plan_required,self_serve_paid_plan_required,Access model inferred from docs presence rather than explicit access/pricing evidence.,,False,verified,flagged
60,Clay,"Data, SEO and Scraping",low_confidence; human_review_flag,api_surface,needs_review,False; none_or_unclear; ['unknown'],False; none_or_unclear; ['unknown'],API surface unresolved.,,False,needs_review,flagged
60,Clay,"Data, SEO and Scraping",low_confidence; human_review_flag,mcp.status,needs_review,unclear,unclear,MCP status unresolved.,,False,needs_review,flagged
60,Clay,"Data, SEO and Scraping",low_confidence; human_review_flag,buildability,needs_review,unclear_needs_review; unclear_access,unclear_needs_review; unclear_access,Buildability remains unresolved.,,False,needs_review,flagged
84,Paygent Connect,Finance and Fintech,low_confidence; human_review_flag,one_line_description,partial,"Paygent Connect is a finance or fintech platform for payments, accounting, banking, spend, or financial data workflows.","Paygent Connect is a finance or fintech platform for payments, accounting, banking, spend, or financial data workflows.",Description exists but evidence is weak or generic.,,False,verified,flagged
84,Paygent Connect,Finance and Fintech,low_confidence; human_review_flag,auth_methods,needs_review,unclear,unclear,Auth method unresolved from discovered evidence.,,False,needs_review,flagged
84,Paygent Connect,Finance and Fintech,low_confidence; human_review_flag,access.model,correct,partner_or_contact_sales_gated,partner_or_contact_sales_gated,,,False,verified,flagged
84,Paygent Connect,Finance and Fintech,low_confidence; human_review_flag,api_surface,needs_review,False; none_or_unclear; ['unknown'],False; none_or_unclear; ['unknown'],API surface unresolved.,,False,needs_review,flagged
84,Paygent Connect,Finance and Fintech,low_confidence; human_review_flag,mcp.status,needs_review,unclear,unclear,MCP status unresolved.,,False,needs_review,flagged
84,Paygent Connect,Finance and Fintech,low_confidence; human_review_flag,buildability,correct,possible_but_gated; app_review_or_business_verification,possible_but_gated; app_review_or_business_verification,,,False,verified,flagged
90,PitchBook,Finance and Fintech,low_confidence; human_review_flag,one_line_description,correct,"PitchBook is a finance or fintech platform for payments, accounting, banking, spend, or financial data workflows.","PitchBook is a finance or fintech platform for payments, accounting, banking, spend, or financial data workflows.",,,False,verified,flagged
90,PitchBook,Finance and Fintech,low_confidence; human_review_flag,auth_methods,needs_review,unclear,unclear,Auth method unresolved from discovered evidence.,,False,needs_review,flagged
90,PitchBook,Finance and Fintech,low_confidence; human_review_flag,access.model,correct,partner_or_contact_sales_gated,partner_or_contact_sales_gated,,,False,verified,flagged
90,PitchBook,Finance and Fintech,low_confidence; human_review_flag,api_surface,needs_review,False; none_or_unclear; ['unknown'],False; none_or_unclear; ['unknown'],API surface unresolved.,,False,needs_review,flagged
90,PitchBook,Finance and Fintech,low_confidence; human_review_flag,mcp.status,needs_review,unclear,unclear,MCP status unresolved.,,False,needs_review,flagged
90,PitchBook,Finance and Fintech,low_confidence; human_review_flag,buildability,correct,possible_but_gated; app_review_or_business_verification,possible_but_gated; app_review_or_business_verification,,,False,verified,flagged
93,Fathom,"AI, Research and Media-native",low_confidence; human_review_flag,one_line_description,correct,"Fathom is a AI, research, meeting, or media-native product for knowledge, content, or automation workflows.","Fathom is a AI, research, meeting, or media-native product for knowledge, content, or automation workflows.",,,False,verified,flagged
93,Fathom,"AI, Research and Media-native",low_confidence; human_review_flag,auth_methods,needs_review,unclear,unclear,Auth method unresolved from discovered evidence.,,False,needs_review,flagged
93,Fathom,"AI, Research and Media-native",low_confidence; human_review_flag,access.model,needs_review,unclear,unclear,Credential access model remains unclear.,,False,needs_review,flagged
93,Fathom,"AI, Research and Media-native",low_confidence; human_review_flag,api_surface,needs_review,False; none_or_unclear; ['unknown'],False; none_or_unclear; ['unknown'],API surface unresolved.,,False,needs_review,flagged
93,Fathom,"AI, Research and Media-native",low_confidence; human_review_flag,mcp.status,needs_review,unclear,unclear,MCP status unresolved.,,False,needs_review,flagged
93,Fathom,"AI, Research and Media-native",low_confidence; human_review_flag,buildability,needs_review,unclear_needs_review; unclear_access,unclear_needs_review; unclear_access,Buildability remains unresolved.,,False,needs_review,flagged
94,Consensus,"AI, Research and Media-native",low_confidence; human_review_flag,one_line_description,correct,"Consensus is a AI, research, meeting, or media-native product for knowledge, content, or automation workflows.","Consensus is a AI, research, meeting, or media-native product for knowledge, content, or automation workflows.",,,False,verified,flagged
94,Consensus,"AI, Research and Media-native",low_confidence; human_review_flag,auth_methods,needs_review,unclear,unclear,Auth method unresolved from discovered evidence.,,False,needs_review,flagged
94,Consensus,"AI, Research and Media-native",low_confidence; human_review_flag,access.model,needs_review,unclear,unclear,Credential access model remains unclear.,,False,needs_review,flagged
94,Consensus,"AI, Research and Media-native",low_confidence; human_review_flag,api_surface,needs_review,False; none_or_unclear; ['unknown'],False; none_or_unclear; ['unknown'],API surface unresolved.,,False,needs_review,flagged
94,Consensus,"AI, Research and Media-native",low_confidence; human_review_flag,mcp.status,needs_review,unclear,unclear,MCP status unresolved.,,False,needs_review,flagged
94,Consensus,"AI, Research and Media-native",low_confidence; human_review_flag,buildability,needs_review,unclear_needs_review; unclear_access,unclear_needs_review; unclear_access,Buildability remains unresolved.,,False,needs_review,flagged
95,Reducto,"AI, Research and Media-native",low_confidence; human_review_flag,one_line_description,correct,"Reducto is a AI, research, meeting, or media-native product for knowledge, content, or automation workflows.","Reducto is a AI, research, meeting, or media-native product for knowledge, content, or automation workflows.",,,False,verified,flagged
95,Reducto,"AI, Research and Media-native",low_confidence; human_review_flag,auth_methods,needs_review,unclear,unclear,Auth method unresolved from discovered evidence.,,False,needs_review,flagged
95,Reducto,"AI, Research and Media-native",low_confidence; human_review_flag,access.model,needs_review,unclear,unclear,Credential access model remains unclear.,,False,needs_review,flagged
95,Reducto,"AI, Research and Media-native",low_confidence; human_review_flag,api_surface,needs_review,False; none_or_unclear; ['unknown'],False; none_or_unclear; ['unknown'],API surface unresolved.,,False,needs_review,flagged
95,Reducto,"AI, Research and Media-native",low_confidence; human_review_flag,mcp.status,needs_review,unclear,unclear,MCP status unresolved.,,False,needs_review,flagged
95,Reducto,"AI, Research and Media-native",low_confidence; human_review_flag,buildability,needs_review,unclear_needs_review; unclear_access,unclear_needs_review; unclear_access,Buildability remains unresolved.,,False,needs_review,flagged
97,higgsfield,"AI, Research and Media-native",low_confidence; human_review_flag,one_line_description,correct,"higgsfield is a AI, research, meeting, or media-native product for knowledge, content, or automation workflows.","higgsfield is a AI, research, meeting, or media-native product for knowledge, content, or automation workflows.",,,False,verified,flagged
97,higgsfield,"AI, Research and Media-native",low_confidence; human_review_flag,auth_methods,needs_review,unclear,unclear,Auth method unresolved from discovered evidence.,,False,needs_review,flagged
97,higgsfield,"AI, Research and Media-native",low_confidence; human_review_flag,access.model,needs_review,unclear,unclear,Credential access model remains unclear.,,False,needs_review,flagged
97,higgsfield,"AI, Research and Media-native",low_confidence; human_review_flag,api_surface,needs_review,False; none_or_unclear; ['unknown'],False; none_or_unclear; ['unknown'],API surface unresolved.,,False,needs_review,flagged
97,higgsfield,"AI, Research and Media-native",low_confidence; human_review_flag,mcp.status,needs_review,unclear,unclear,MCP status unresolved.,,False,needs_review,flagged
97,higgsfield,"AI, Research and Media-native",low_confidence; human_review_flag,buildability,needs_review,unclear_needs_review; unclear_access,unclear_needs_review; unclear_access,Buildability remains unresolved.,,False,needs_review,flagged
98,Mermaid CLI,"AI, Research and Media-native",low_confidence; human_review_flag,one_line_description,correct,"Mermaid CLI is a AI, research, meeting, or media-native product for knowledge, content, or automation workflows.","Mermaid CLI is a AI, research, meeting, or media-native product for knowledge, content, or automation workflows.",,,False,verified,flagged
98,Mermaid CLI,"AI, Research and Media-native",low_confidence; human_review_flag,auth_methods,partial,No hosted app auth / CLI or open-source usage,No hosted app auth / CLI or open-source usage,Auth method inferred without a dedicated auth docs URL.,,False,verified,flagged
98,Mermaid CLI,"AI, Research and Media-native",low_confidence; human_review_flag,access.model,partial,self_serve_free_or_trial,self_serve_free_or_trial,Access model inferred from docs presence rather than explicit access/pricing evidence.,,False,verified,flagged
98,Mermaid CLI,"AI, Research and Media-native",low_confidence; human_review_flag,api_surface,needs_review,False; none_or_unclear; ['REST'],False; none_or_unclear; ['REST'],API surface unresolved.,,False,needs_review,flagged
98,Mermaid CLI,"AI, Research and Media-native",low_confidence; human_review_flag,mcp.status,partial,none_found,none_found,No MCP URL found in discovery; absence has not been exhaustively proven.,,False,verified,flagged
98,Mermaid CLI,"AI, Research and Media-native",low_confidence; human_review_flag,buildability,needs_review,unclear_needs_review; unclear_access,unclear_needs_review; unclear_access,Buildability remains unresolved.,,False,needs_review,flagged
100,Grain,"AI, Research and Media-native",low_confidence; human_review_flag,one_line_description,correct,"Grain is a AI, research, meeting, or media-native product for knowledge, content, or automation workflows.","Grain is a AI, research, meeting, or media-native product for knowledge, content, or automation workflows.",,,False,verified,flagged
100,Grain,"AI, Research and Media-native",low_confidence; human_review_flag,auth_methods,needs_review,unclear,unclear,Auth method unresolved from discovered evidence.,,False,needs_review,flagged
100,Grain,"AI, Research and Media-native",low_confidence; human_review_flag,access.model,needs_review,unclear,unclear,Credential access model remains unclear.,,False,needs_review,flagged
100,Grain,"AI, Research and Media-native",low_confidence; human_review_flag,api_surface,needs_review,False; none_or_unclear; ['unknown'],False; none_or_unclear; ['unknown'],API surface unresolved.,,False,needs_review,flagged
100,Grain,"AI, Research and Media-native",low_confidence; human_review_flag,mcp.status,needs_review,unclear,unclear,MCP status unresolved.,,False,needs_review,flagged
100,Grain,"AI, Research and Media-native",low_confidence; human_review_flag,buildability,needs_review,unclear_needs_review; unclear_access,unclear_needs_review; unclear_access,Buildability remains unresolved.,,False,needs_review,flagged
2,HubSpot,CRM and Sales,category_calibration,one_line_description,correct,"HubSpot is a CRM and sales platform for managing customer records, deals, and revenue workflows.","HubSpot is a CRM and sales platform for managing customer records, deals, and revenue workflows.",,,False,verified,corrected
2,HubSpot,CRM and Sales,category_calibration,auth_methods,partial,OAuth 2.0,"OAuth 2.0, Private app access token",OAuth was captured but private app token path was omitted.,Added Private app access token.,True,corrected,corrected
2,HubSpot,CRM and Sales,category_calibration,access.model,correct,admin_or_workspace_dependent,admin_or_workspace_dependent,,,False,verified,corrected
2,HubSpot,CRM and Sales,category_calibration,api_surface,correct,"True; platform_level; ['REST', 'Webhooks']","True; platform_level; ['REST', 'Webhooks']",,,False,verified,corrected
2,HubSpot,CRM and Sales,category_calibration,mcp.status,partial,none_found,none_found,No MCP URL found in discovery; absence has not been exhaustively proven.,,False,verified,corrected
2,HubSpot,CRM and Sales,category_calibration,buildability,correct,buildable_with_caveats; admin_setup_required,buildable_with_caveats; admin_setup_required,,,False,verified,corrected
11,Zendesk,Support and Helpdesk,category_calibration,one_line_description,correct,"Zendesk is a customer support platform for managing conversations, tickets, and service workflows.","Zendesk is a customer support platform for managing conversations, tickets, and service workflows.",,,False,verified,pass
11,Zendesk,Support and Helpdesk,category_calibration,auth_methods,correct,OAuth 2.0,OAuth 2.0,,,False,verified,pass
11,Zendesk,Support and Helpdesk,category_calibration,access.model,correct,admin_or_workspace_dependent,admin_or_workspace_dependent,,,False,verified,pass
11,Zendesk,Support and Helpdesk,category_calibration,api_surface,correct,"True; broad; ['REST', 'Webhooks']","True; broad; ['REST', 'Webhooks']",,,False,verified,pass
11,Zendesk,Support and Helpdesk,category_calibration,mcp.status,partial,none_found,none_found,No MCP URL found in discovery; absence has not been exhaustively proven.,,False,verified,pass
11,Zendesk,Support and Helpdesk,category_calibration,buildability,correct,buildable_with_caveats; admin_setup_required,buildable_with_caveats; admin_setup_required,,,False,verified,pass
21,Slack,Communications and Messaging,category_calibration,one_line_description,correct,"Slack is a communications platform for messaging, calls, notifications, or collaboration workflows.","Slack is a communications platform for messaging, calls, notifications, or collaboration workflows.",,,False,verified,pass
21,Slack,Communications and Messaging,category_calibration,auth_methods,correct,OAuth 2.0,OAuth 2.0,,,False,verified,pass
21,Slack,Communications and Messaging,category_calibration,access.model,correct,admin_or_workspace_dependent,admin_or_workspace_dependent,,,False,verified,pass
21,Slack,Communications and Messaging,category_calibration,api_surface,correct,True; broad; ['REST'],True; broad; ['REST'],,,False,verified,pass
21,Slack,Communications and Messaging,category_calibration,mcp.status,partial,none_found,none_found,No MCP URL found in discovery; absence has not been exhaustively proven.,,False,verified,pass
21,Slack,Communications and Messaging,category_calibration,buildability,correct,buildable_with_caveats; admin_setup_required,buildable_with_caveats; admin_setup_required,,,False,verified,pass
31,Google Ads,"Marketing, Ads, Email and Social",category_calibration,one_line_description,correct,"Google Ads is a marketing, ads, email, or social platform for campaign and audience workflows.","Google Ads is a marketing, ads, email, or social platform for campaign and audience workflows.",,,False,verified,pass
31,Google Ads,"Marketing, Ads, Email and Social",category_calibration,auth_methods,correct,OAuth 2.0,OAuth 2.0,,,False,verified,pass
31,Google Ads,"Marketing, Ads, Email and Social",category_calibration,access.model,correct,partner_or_contact_sales_gated,partner_or_contact_sales_gated,,,False,verified,pass
31,Google Ads,"Marketing, Ads, Email and Social",category_calibration,api_surface,correct,True; broad; ['REST'],True; broad; ['REST'],,,False,verified,pass
31,Google Ads,"Marketing, Ads, Email and Social",category_calibration,mcp.status,partial,none_found,none_found,No MCP URL found in discovery; absence has not been exhaustively proven.,,False,verified,pass
31,Google Ads,"Marketing, Ads, Email and Social",category_calibration,buildability,correct,possible_but_gated; app_review_or_business_verification,possible_but_gated; app_review_or_business_verification,,,False,verified,pass
41,Shopify,Ecommerce,category_calibration,one_line_description,correct,"Shopify is a ecommerce platform for stores, products, orders, customers, and commerce operations.","Shopify is a ecommerce platform for stores, products, orders, customers, and commerce operations.",,,False,verified,pass
41,Shopify,Ecommerce,category_calibration,auth_methods,correct,OAuth 2.0,OAuth 2.0,,,False,verified,pass
41,Shopify,Ecommerce,category_calibration,access.model,correct,admin_or_workspace_dependent,admin_or_workspace_dependent,,,False,verified,pass
41,Shopify,Ecommerce,category_calibration,api_surface,correct,"True; platform_level; ['REST', 'GraphQL', 'Webhooks']","True; platform_level; ['REST', 'GraphQL', 'Webhooks']",,,False,verified,pass
41,Shopify,Ecommerce,category_calibration,mcp.status,partial,none_found,none_found,No MCP URL found in discovery; absence has not been exhaustively proven.,,False,verified,pass
41,Shopify,Ecommerce,category_calibration,buildability,correct,buildable_with_caveats; admin_setup_required,buildable_with_caveats; admin_setup_required,,,False,verified,pass
61,GitHub,"Developer, Infra and Data platforms",category_calibration,one_line_description,correct,"GitHub is a developer, infrastructure, or data platform for engineering and operational workflows.","GitHub is a developer, infrastructure, or data platform for engineering and operational workflows.",,,False,verified,pass
61,GitHub,"Developer, Infra and Data platforms",category_calibration,auth_methods,correct,"OAuth 2.0, GitHub App auth, personal access token","OAuth 2.0, GitHub App auth, personal access token",,,False,verified,pass
61,GitHub,"Developer, Infra and Data platforms",category_calibration,access.model,partial,self_serve_free_or_trial,self_serve_free_or_trial,Access model inferred from docs presence rather than explicit access/pricing evidence.,,False,verified,pass
61,GitHub,"Developer, Infra and Data platforms",category_calibration,api_surface,correct,"True; platform_level; ['REST', 'GraphQL', 'Webhooks']","True; platform_level; ['REST', 'GraphQL', 'Webhooks']",,,False,verified,pass
61,GitHub,"Developer, Infra and Data platforms",category_calibration,mcp.status,partial,none_found,none_found,No MCP URL found in discovery; absence has not been exhaustively proven.,,False,verified,pass
61,GitHub,"Developer, Infra and Data platforms",category_calibration,buildability,correct,buildable_now; none,buildable_now; none,,,False,verified,pass
